Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
C219,144,216,13,0,3,4
C220,125,156,9,1,3,5
C221,180,201,24,1,4,12
C222,135,164,9,1,6,6
C223,306,259,16,1,3,11
C224,321,286,21,0,6,14
C225,300,168,16,1,5,9
C226,117,183,15,0,3,9
C227,231,297,21,0,3,12
C228,216,204,21,0,2,11
C229,180,103,8,0,0,2
C230,148,213,17,0,1,16
C231,271,170,11,0,1,8
C232,255,208,14,0,5,7
C233,195,226,18,0,6,9
C235,149,140,16,1,2,3
C236,184,122,15,0,4,5
C237,253,190,33,0,3,9
C238,252,263,20,0,5,13
C239,403,342,22,0,4,16
