Precinct,Brown
AB,474
A102,323
A106,206
A109,461
A115,520
A120,259
A126,345
A128,432
A130,301
A131,253
A134,239
A135,391
A140,256
A143,270
A144,463
A148,463
A149,310
A150,456
A152,527
A155,480
A161,456
A164,288
A165,158
A172,286
A179,299
A183,322
A190,329
A191,632
A194,335
A195,293
A197,327
A199,336
A200,593
A201,320
C121,186
C132,380
C148,276
