Precinct,Brown
AB,228
A111,279
A115,333
A117,374
A120,174
A126,279
A130,261
A134,208
A144,376
A148,369
A149,256
A150,333
A155,293
A161,370
A164,220
A168,371
A169,290
A170,201
A174,145
A179,244
C159,216
