Precinct,Massie,Sidle
B161,62,28
V103,367,111
V104,866,405
V105,794,253
V107,441,119
V108,882,298
V110,854,306
V111,528,261
V113,1103,467
V121,527,336
V122,0,0
V123,2,0
V125,427,202
V129,810,283
V131,555,277
