Precinct,Paul,Gray
O105,134,672
O107,151,772
O109,186,632
O111,168,458
O112,240,293
O113,123,386
O114,304,387
O115,400,482
O117,82,592
O119,103,559
O121,115,482
O123,109,316
O124,175,270
O126,146,419
O127,192,370
O128,307,430
O129,442,561
O130,274,349
O131,189,309
O133,414,396
O134,489,357
O135,251,367
O136,242,355
O137,440,525
O138,121,168
O139,15,22
O141,0,0
O142,199,235
O143,8,10
Q101,325,656
Q103,358,588
Q104,71,180
Q105,433,648
Q107,356,573
Q109,561,505
Q112,421,391
Q113,212,171
Q114,447,320
Q115,378,432
Q116,354,437
Q117,391,349
Q119,439,427
Q122,84,484
Q123,47,802
Q124,109,441
Q125,634,591
Q126,240,189
Q127,136,258
Q131,186,193
Q132,213,282
Q134,127,360
Q136,103,158
Q137,280,414
Q138,157,314
Q139,160,165
S116,371,260
S118,426,419
S119,422,529
S125,500,535
S126,453,361
S128,329,310
S129,367,303
S130,421,327
S131,313,477
S132,399,577
S135,292,548
S139,500,637
S140,440,286
S141,497,616
S142,262,313
S143,474,261
S144,334,283
S146,305,335
S150,476,349
S152,275,273
S153,551,420
S156,208,303
S160,989,626
S161,250,286
S164,303,340
S165,317,238
S166,435,242
S167,340,239
S168,275,253
V101,303,366
V102,843,465
V103,344,147
V104,817,503
V105,733,344
V106,282,352
V107,413,162
V108,845,376
V109,66,21
V110,826,366
V111,484,325
V112,11,7
V113,1019,605
V114,625,229
V115,393,367
V116,481,356
V117,405,331
V118,421,372
V119,697,476
V120,548,464
V121,490,396
V122,0,0
V123,2,0
V124,260,266
V125,400,251
V126,710,408
V127,616,586
V128,571,348
V129,767,362
V130,170,89
V131,508,348
V132,318,198
