Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
A101,240,27,2,0,1,0
A102,422,101,14,0,0,3
A103,334,60,6,0,1,7
B101,456,129,22,0,1,4
B102,452,105,21,0,6,7
B103,381,88,20,0,5,11
C101,329,65,6,0,1,5
C102,359,109,12,0,3,3
C103,248,40,5,0,1,2
D101,444,138,13,0,4,8
D102,267,68,8,1,0,5
D103,342,100,7,0,3,7
